Status	Age	3275.94cm	2922.99cm	2853.55cm	1635.56cm	1540.09cm	1457.15cm	1379.04cm	1155.31	1076.23cm	1028.97cm	525.57cm
BF	3	0.08277	0.12973	0.10037	0.15114	0.1416	0.1105	0.11123	0.11633	0.14466	0.15833	0.19134
BF	3	0.07971	0.11496	0.08812	0.16988	0.15848	0.11018	0.1107	0.10467	0.12747	0.1284	0.17494
BF	3	0.08845	0.09196	0.07267	0.17464	0.16346	0.10707	0.11125	0.09378	0.12808	0.13506	0.1796
BF	3	0.0605	0.07101	0.05584	0.13415	0.12653	0.08349	0.08594	0.07472	0.09367	0.09106	0.13797
BF	3	0.07362	0.10661	0.08118	0.1441	0.13276	0.09607	0.09981	0.09931	0.13543	0.14461	0.17108
BF	3	0.06863	0.10725	0.0818	0.15994	0.14943	0.10482	0.10635	0.10629	0.12821	0.12881	0.17495
BF	3	0.05099	0.05168	0.04242	0.10065	0.09523	0.06457	0.06786	0.06311	0.08243	0.09103	0.11659
BF	3	0.06441	0.09581	0.0751	0.13698	0.12878	0.09439	0.09653	0.09666	0.12132	0.12922	0.1631
BF	3	0.08501	0.126	0.09784	0.16452	0.15247	0.11534	0.11645	0.11931	0.14973	0.16624	0.20092
BF	3	0.06492	0.07184	0.05756	0.14038	0.13285	0.08703	0.08908	0.08032	0.10727	0.11145	0.15399
BF	3	0.0705	0.13861	0.10559	0.13571	0.12656	0.10702	0.10673	0.1225	0.15847	0.18098	0.19525
BF	3	0.07308	0.08788	0.06797	0.13077	0.12113	0.0846	0.08823	0.07807	0.09474	0.09352	0.12836
BF	3	0.09141	0.11353	0.08689	0.17687	0.165	0.11389	0.1178	0.11243	0.13909	0.14313	0.19679
BF	3	0.08885	0.14102	0.10748	0.17129	0.15998	0.12265	0.1231	0.13201	0.16533	0.18463	0.2139
BF	3	0.07171	0.10484	0.08141	0.14261	0.13596	0.09949	0.10386	0.1029	0.13247	0.14223	0.17053
BF	3	0.08336	0.11106	0.08758	0.14988	0.14062	0.10405	0.10642	0.10152	0.13823	0.1539	0.17698
GR	3	0.07167	0.16476	0.12206	0.11476	0.09712	0.09697	0.09463	0.13202	0.16243	0.19669	0.17023
GR	3	0.05713	0.17865	0.1297	0.12078	0.10885	0.10647	0.09894	0.14252	0.15218	0.16871	0.18213
GR	3	0.0588	0.16877	0.12456	0.11927	0.1082	0.10637	0.10109	0.14117	0.15519	0.17786	0.19564
GR	3	0.05207	0.14088	0.10567	0.08881	0.08021	0.08306	0.07827	0.11148	0.12444	0.14572	0.14953
GR	3	0.05672	0.1664	0.12289	0.09786	0.09069	0.09756	0.09023	0.1316	0.14584	0.16695	0.1766
GR	3	0.05187	0.16862	0.12375	0.10423	0.09768	0.09898	0.09134	0.12973	0.13985	0.15615	0.17268
GR	3	0.06576	0.14754	0.11244	0.11112	0.10021	0.09682	0.09439	0.12512	0.15631	0.18679	0.18482
GR	3	0.06478	0.12722	0.09863	0.1079	0.09879	0.09031	0.08919	0.11119	0.15089	0.18248	0.18801
GR	3	0.05734	0.12283	0.09435	0.09462	0.08705	0.08121	0.07877	0.10099	0.12793	0.15237	0.15874
GR	3	0.07823	0.15703	0.11822	0.11424	0.10042	0.10075	0.09806	0.13426	0.17078	0.21079	0.19789
GR	3	0.05578	0.15708	0.11688	0.10959	0.10066	0.102	0.09478	0.13315	0.1509	0.17413	0.18645
GR	3	0.06481	0.15363	0.11587	0.10371	0.09411	0.09519	0.09005	0.12165	0.14648	0.17305	0.17481
GR	3	0.06745	0.14557	0.10969	0.12933	0.12177	0.10505	0.10181	0.12051	0.14926	0.17086	0.18603
GR	3	0.07399	0.16916	0.12696	0.11051	0.09818	0.10494	0.10041	0.1451	0.17341	0.20966	0.2067
GR	3	0.06223	0.17291	0.12565	0.10895	0.0959	0.10071	0.091	0.14297	0.14957	0.17288	0.16963
GR	3	0.06719	0.16833	0.12649	0.11507	0.10388	0.10706	0.10183	0.14505	0.17028	0.2022	0.20537
GR	3	0.06357	0.14771	0.11253	0.10559	0.09374	0.09487	0.09062	0.12865	0.15682	0.18767	0.1884
GR	3	0.07306	0.16225	0.12099	0.1182	0.10365	0.10185	0.09746	0.14063	0.1723	0.20927	0.20747
GR	3	0.06064	0.10013	0.07942	0.10498	0.09981	0.08495	0.0861	0.09599	0.12116	0.1409	0.16227
GR	3	0.07602	0.11824	0.09191	0.10392	0.09257	0.08456	0.08633	0.10504	0.14687	0.1829	0.17889
GR	3	0.03519	0.11328	0.08634	0.06435	0.05908	0.06389	0.05927	0.0829	0.0956	0.11082	0.12386
GR	3	0.05557	0.09183	0.07209	0.06979	0.06367	0.06084	0.06153	0.07196	0.10269	0.1255	0.13032
GR	3	0.06863	0.17149	0.12733	0.10689	0.09718	0.10355	0.09684	0.13797	0.15913	0.1871	0.19539
GR	3	0.05736	0.17283	0.1276	0.10875	0.10087	0.10344	0.09524	0.13504	0.1523	0.17453	0.19037
SF	3	0.10811	0.14681	0.11116	0.16227	0.14164	0.11246	0.12099	0.13095	0.18625	0.22278	0.22804
SF	3	0.07324	0.09967	0.07736	0.11064	0.09597	0.08096	0.08827	0.10078	0.14089	0.17144	0.16921
SF	3	0.09586	0.12099	0.0931	0.15503	0.13859	0.10468	0.11147	0.11539	0.15862	0.1841	0.20163
SF	3	0.08931	0.10642	0.0834	0.12374	0.10957	0.08856	0.09403	0.10448	0.14681	0.17925	0.179
SF	3	0.10168	0.14501	0.11121	0.15941	0.14092	0.1137	0.1191	0.13605	0.17605	0.21499	0.22694
