Status	Real age	Species	Age	time stored	3855.53371	3400.35314	3275.94998	2922.99216	2853.55784	1900.76462	1745.50175	1635.56407	1540.09188	1457.15644	1379.04282	1306.7154	1235.35235	1155.31	1076.23202	1028.97811	880.4658	525.57926	401.17609
BA	9	AG	old	0	0.0128	0.0397	0.05856	0.05909	0.047	0.01163	0.0181	0.12989	0.12298	0.08216	0.08687	0.07776	0.0905	0.07989	0.10349	0.10262	0.06088	0.17083	0.15309
BA	9	AG	old	0	0.01886	0.0702	0.09932	0.09793	0.07866	0.01609	0.02333	0.19468	0.18412	0.12342	0.12644	0.11153	0.12738	0.10754	0.16183	0.16052	0.09384	0.24004	0.21589
BA	9	AG	old	0	0.01557	0.06208	0.08507	0.08041	0.06444	0.01294	0.01868	0.14819	0.14348	0.10711	0.10891	0.09681	0.10818	0.08996	0.11682	0.11679	0.072	0.1827	0.16982
BA	9	AG	old	0	0.01533	0.05799	0.08258	0.07955	0.06297	0.01257	0.0198	0.1611	0.15305	0.10904	0.11185	0.09984	0.11359	0.09496	0.11805	0.11926	0.07127	0.1878	0.17024
BA	9	AG	old	0	0.00828	0.03373	0.04742	0.04718	0.03811	0.00899	0.01299	0.09503	0.09326	0.07073	0.07247	0.06548	0.07292	0.06176	0.0783	0.07957	0.04972	0.11722	0.10847
BA	11	AG	old	0	0.00966	0.03385	0.05018	0.04179	0.0339	0.00978	0.01247	0.10707	0.09806	0.0638	0.06469	0.05894	0.0666	0.05834	0.0786	0.07782	0.04649	0.12685	0.11637
BA	11	AG	old	0	0.00688	0.02481	0.03845	0.03368	0.02745	0.00873	0.0118	0.10719	0.09847	0.06229	0.06342	0.05716	0.06704	0.05822	0.08293	0.08053	0.04749	0.13419	0.11636
BA	11	AG	old	0	0.01183	0.04558	0.05977	0.0477	0.03984	0.00941	0.01254	0.11203	0.11001	0.07673	0.08004	0.07162	0.07876	0.07049	0.09576	0.09838	0.06193	0.19295	0.18669
BA	11	AG	old	0	0.0099	0.03132	0.0432	0.03887	0.03192	0.008	0.01072	0.09071	0.08557	0.06353	0.06279	0.05685	0.06429	0.05452	0.07297	0.07139	0.04344	0.12006	0.1115
BA	11	AG	old	0	0.01192	0.04038	0.05697	0.05272	0.04246	0.01044	0.01522	0.12175	0.1131	0.0802	0.07944	0.07111	0.08394	0.06911	0.0933	0.088	0.05472	0.15184	0.13935
BA	11	AG	old	0	0.01178	0.04327	0.06237	0.05039	0.03996	0.00874	0.01274	0.11972	0.11355	0.07625	0.07741	0.07008	0.08134	0.07082	0.08758	0.08723	0.05103	0.15168	0.14127
BA	13	AG	old	0	0.01668	0.05719	0.08318	0.07114	0.05684	0.01357	0.01853	0.16059	0.15232	0.10197	0.10816	0.09529	0.10752	0.09366	0.12802	0.12941	0.07413	0.20124	0.18088
BA	13	AG	old	0	0.01463	0.05533	0.07609	0.07593	0.05987	0.01352	0.01828	0.1381	0.13222	0.09779	0.10078	0.08875	0.09934	0.08349	0.11105	0.10793	0.06634	0.17982	0.16852
BA	13	AG	old	0	0.01263	0.03847	0.05636	0.05688	0.04543	0.01212	0.01557	0.11537	0.10942	0.07519	0.07938	0.06985	0.08068	0.06761	0.09504	0.09054	0.05548	0.14487	0.1281
BA	13	AG	old	0	0.01342	0.06159	0.09427	0.11548	0.0863	0.01438	0.04036	0.18392	0.1671	0.11234	0.11407	0.10104	0.11921	0.11151	0.13554	0.13792	0.0746	0.18865	0.16942
BA	13	AG	old	0	0.01056	0.02915	0.04309	0.04346	0.03642	0.01058	0.01374	0.09609	0.09124	0.06546	0.06729	0.06141	0.06882	0.05824	0.06881	0.06866	0.04386	0.11682	0.10576
