Species	Status	Real age	Age	time stored	3856	3400	3276	2923	2854	1901	1746	1636	1539	1457	1307	1154	1076	1027	880	526	401
AR	BF	1	AR	1	6	0.00865	0.10124	0.14168	0.14502	0.11344	0.01303	0.0397	0.22518	0.20828	0.15297	0.14272	0.15186	0.24077	0.29054	0.12401	0.32859	0.28932
AR	BF	1	AR	1	6	0.00846	0.07895	0.11193	0.11606	0.09062	0.01333	0.0362	0.21147	0.20408	0.14286	0.13084	0.13157	0.19488	0.21273	0.1078	0.28012	0.24373
AR	BF	1	AR	1	6	0.01108	0.04928	0.06893	0.06439	0.05216	0.01072	0.0142	0.12014	0.12046	0.08573	0.07882	0.07089	0.096	0.09606	0.05955	0.15645	0.13947
AR	BF	1	AR	1	6	0.01488	0.05319	0.07877	0.07406	0.06037	0.01466	0.02005	0.17144	0.17127	0.11451	0.10617	0.09556	0.12696	0.12457	0.07896	0.21595	0.19306
AR	BF	1	AR	1	6	0.01397	0.06455	0.09211	0.07556	0.06089	0.01292	0.01684	0.17177	0.17167	0.11212	0.10361	0.0924	0.12998	0.1322	0.0775	0.2201	0.19464
AR	BF	1	AR	1	6	0.00709	0.06401	0.09301	0.11962	0.09092	0.01167	0.04148	0.17081	0.16681	0.12202	0.10802	0.10903	0.14314	0.1402	0.08356	0.20885	0.18536
AR	BF	1	AR	1	6	0.01354	0.06001	0.08605	0.0829	0.06652	0.013	0.02049	0.15299	0.15381	0.10754	0.09911	0.09043	0.12305	0.12725	0.07238	0.19517	0.17047
AR	BF	1	AR	1	6	0.01167	0.05525	0.08013	0.10295	0.08068	0.01416	0.03488	0.18415	0.18058	0.12897	0.11784	0.11507	0.166	0.17362	0.09491	0.26584	0.2315
AR	BF	1	AR	1	6	0.01043	0.07424	0.10638	0.10317	0.08116	0.01287	0.02963	0.19407	0.18204	0.1226	0.11409	0.119	0.17864	0.20627	0.09733	0.25522	0.22938
AR	BF	1	AR	1	6	0.00576	0.04236	0.06156	0.05475	0.04281	0.00705	0.01248	0.11839	0.11718	0.07823	0.07006	0.06097	0.07545	0.0697	0.04631	0.12258	0.11438
AR	BF	1	AR	1	6	0.01404	0.06791	0.09743	0.09072	0.07163	0.01348	0.02337	0.19784	0.19422	0.12768	0.11722	0.10626	0.13637	0.13222	0.08096	0.23109	0.20855
AR	BF	1	AR	1	6	0.0109	0.0729	0.10215	0.0894	0.06876	0.01074	0.01836	0.17225	0.16614	0.11622	0.10342	0.09386	0.11983	0.11743	0.07058	0.18979	0.17631
AR	BF	1	AR	1	6	0.01523	0.09122	0.13643	0.11704	0.09049	0.01567	0.02378	0.26343	0.26473	0.16891	0.1532	0.13281	0.16475	0.15902	0.09822	0.30138	0.27147
AR	BF	1	AR	1	6	0.00888	0.05555	0.07992	0.07505	0.05854	0.00831	0.01886	0.12428	0.12022	0.08219	0.07477	0.07034	0.10101	0.10573	0.05665	0.15457	0.13923
AR	BF	1	AR	1	6	0.01471	0.05325	0.07599	0.06861	0.05654	0.01364	0.01701	0.15965	0.15928	0.10817	0.10116	0.09187	0.12538	0.12663	0.07706	0.21057	0.18838
AR	BF	1	AR	1	6	0.01039	0.06933	0.09875	0.14701	0.11163	0.01374	0.05887	0.19639	0.18936	0.14302	0.12579	0.13483	0.17474	0.1768	0.10166	0.25801	0.2293
AR	BF	1	AR	1	6	0.00789	0.03842	0.0546	0.04988	0.0403	0.00811	0.01105	0.10079	0.09921	0.06881	0.06333	0.05918	0.08393	0.08632	0.05095	0.1391	0.12447
AR	BF	1	AR	1	6	0.01032	0.05436	0.07548	0.07523	0.06088	0.01169	0.01684	0.13819	0.13723	0.10003	0.09099	0.08287	0.1124	0.11413	0.07028	0.17095	0.15727
AR	BF	1	AR	1	6	0.01408	0.07955	0.11666	0.10321	0.08185	0.01626	0.02232	0.21988	0.21667	0.14119	0.12954	0.11381	0.15381	0.1497	0.09152	0.25483	0.2287
AR	BF	1	AR	1	6	0.01569	0.07908	0.11572	0.09723	0.07547	0.01432	0.01824	0.2083	0.20066	0.12895	0.11614	0.10062	0.13437	0.12112	0.07842	0.2168	0.19774
AR	BF	1	AR	1	6	0.01145	0.05854	0.0852	0.11345	0.08647	0.01357	0.043	0.17769	0.17581	0.12321	0.112	0.11116	0.14676	0.14359	0.08376	0.22041	0.19861
AR	BF	1	AR	1	6	0.01195	0.06105	0.09411	0.07511	0.05792	0.01202	0.01467	0.19197	0.1857	0.11165	0.10058	0.08381	0.0985	0.08101	0.06207	0.19352	0.18156
AR	BF	1	AR	1	6	0.01293	0.08335	0.11846	0.1044	0.08112	0.01398	0.02376	0.20323	0.19601	0.13189	0.11872	0.11198	0.16795	0.1737	0.09557	0.25497	0.22691
AR	BF	1	AR	1	6	0.01441	0.05673	0.08169	0.07769	0.06243	0.01354	0.01984	0.14651	0.14667	0.09909	0.09181	0.08381	0.12064	0.12314	0.07176	0.19992	0.17668
AR	BF	1	AR	1	14	0.01326	0.06567	0.10115	0.09125	0.07134	0.0142	0.02573	0.21361	0.19895	0.1288	0.11626	0.10846	0.14518	0.13326	0.08065	0.22941	0.20166
AR	BF	1	AR	1	14	0.01735	0.06848	0.11043	0.10158	0.07852	0.01646	0.0276	0.22242	0.20436	0.12364	0.11302	0.10381	0.13064	0.11841	0.07138	0.19846	0.17298
AR	BF	1	AR	1	14	0.01718	0.0511	0.07941	0.06966	0.05527	0.01344	0.01741	0.17569	0.16363	0.10544	0.09461	0.08449	0.10438	0.08893	0.06112	0.17117	0.15736
